company_name,country,assets,date,price,sector,operating,debt_to_assets,age
adidas,germany,15176.0,2016-03-18T00:00:00.000Z,100.077,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-03-21T00:00:00.000Z,100.198,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-03-22T00:00:00.000Z,100.46,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-03-23T00:00:00.000Z,102.112,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-03-24T00:00:00.000Z,102.754,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-03-29T00:00:00.000Z,102.582,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-03-30T00:00:00.000Z,104.627,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-03-31T00:00:00.000Z,102.451,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-01T00:00:00.000Z,102.544,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-04T00:00:00.000Z,103.277,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-05T00:00:00.000Z,102.128,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-06T00:00:00.000Z,104.217,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-07T00:00:00.000Z,102.73,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-08T00:00:00.000Z,102.741,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-11T00:00:00.000Z,101.939,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-12T00:00:00.000Z,103.061,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-13T00:00:00.000Z,103.716,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-14T00:00:00.000Z,105.109,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-15T00:00:00.000Z,104.094,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-18T00:00:00.000Z,106.2,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-19T00:00:00.000Z,108.262,consumer discretionary,7.73,10.66,66
