country,year,price
europe,2014,54.2685866487455
europe,2015,60.806332885304585
europe,2016,59.24548673835132
europe,2017,72.8217068996415
europe,2018,77.04709901433695
united kingdom,2014,966.2954223484847
united kingdom,2015,1035.0971884469695
united kingdom,2016,1012.661339962121
united kingdom,2017,1105.9116373106065
united kingdom,2018,1072.3413475378784
